DEPARTMENT,VENDOR,DESCRIPTION,CONTRACT_NUMBER,Year,AMOUNT,REASON,ACAN,FID
Saskatoon Water,Meewasin Valley Authority,Bandstand Lift Station Decommissioning,22-0512,2022,89646.38,J2,,228
Transit,Trapeze Software ULC,Trapeze Viewpoint Subscription Renewal,22-0513,2022,250000,F3,,229
Transit,Payment in Motion Inc.,PIM Fareboxes,22-0515,2022,30750,D,,230
Finance,Pricewaterhousecoopers LLP,PWC Consulting BPC Project,22-0518,2022,145394.8,"D, G1",,231
City Clerk's,Western Information Management Inc.,Software Licensing/Maintenance for WISPIR and WesternIM,22-0524,2022,37560.1,F3,,232
Transit,Assetworks,AssetWorks Licensing and Support for Fleet Maintenance,22-0526,2022,49093.38,E2,,233
IT,Shaw Business Solutions,SIP Trunk Services,22-0528,2022,50000,D,,234
Water & Waste Operations,Geoware Inc.,Geoware Software Renewal for 2023,22-0531,2022,38375,D,,235
Communications,Sprout Social Inc.,Sprout Social Software,22-0532,2022,29531.78,A,,236
Transportation,Electromega Ltd.,TransSuite Software Annual Maintenance ,22-0536,2022,46529,"D, F3",,237
Technical Services,Sask Energy,RTF Natural Gas Service,22-0538,2022,71955.05,"E3, J1",,238
IT,Lenovo Canada Inc.,Data Centre Hardware Warranty,22-0540,2022,31504.07,"E1, E2",,239
Fleet,Falcon Equipment,Snow Blower,23-0094,2023,203000,C,,240
Fleet,Falcon Equipment,Henderson PWS 100G Pre-Wetting System,23-0095,2023,28500,E,,241
Transit,Cutric,Consulting Services - Zero Emissions Fleet,23-0097,2023,93257.76,E1,,242
Transportation,Canadian Pacific Railway,Monthly CP Rail Public Crossing Maintenance,23-0103,2023,77525,"E3, F3, F5",,243
S L & P,Finning Canada,Landfill Gas Facility Critical Spare Parts,23-0105,2023,47619.29,E1,,244
Fleet,Altec Industries Ltd.,Repairs to Unit 1310,23-0109,2023,35913.44,E1,,245
Corporate Revenue,Selectron Technologies,Renewal for IVR System,23-0120,2023,37410,E1,,246
Saskatoon Water,WesTech Engineering Inc.,Westech Dual Cage Drive and Technical Support,23-0134,2023,362514,E,,247
Fleet,Finning Canada,Engine Replacement for 2150 Wheel Loader,23-0138,2023,116059,E,,248
Solicitors Office,Marsh Canada Ltd.,Insurance Premiums for 2023,23-0141,2023,1079739,"B, E1, K",,249
S L & P,Esri Canada Ltd.,ArcFM License Renewal,23-0142,2023,34208.64,E1,,250
Technical Services,D & R Towing,Additional Towing Services for 2023 Residential Snow Removal - D & R Towing,23-0143,2023,38620,"C, F4, G3",,251
Technical Services,Auto Rescue Towing,Additional Towing Services for 2023 Residential Snow Removal - Auto Rescue,23-0145,2023,34035,"C, F4, G3",,252
Sustainability,Saskatchewan Waste Reduction Council,2022-2024 Compost Coach Coordination,21-0447,2021,105450,J,,253
Saskatoon Water,Min-Chem Canada Inc.,Sodium Silicofluoride,23-0367,2023,63810,C,,254
C & D,ISN Software Canada Ltd.,ISN Annual Renewal,23-0374,2023,57950,D,,255
Transit,EQUANS Services Inc.,Overhead Door Replacement,23-0375,2023,56038.51,G,,256
Solicitors Office,Marsh Canada Ltd.,Insurance Premiums   ,23-0376,2023,112416,K,,257
Recreation & Community Development,Intriquip Instruments Inc.,Dog Kennels,23-0380,2023,58040,C,,258
Technical Services,Aim Electric Ltd.,Supply and Install of RTC 900 AMP Switch,23-0386,2023,32570,A & C,,259
Saskatoon Water,SaskTel,SaskTel Utility Alterations for CN Industrial Drainage Improvements,23-0390,2023,55016,E3,,260
Technical Services,ATS Traffic Ltd.,Circle Drive Guardrail Repairs,23-0393,2023,28387.51,E1,,261
Sustainability,RSI Projects,Deep Energy Retrofits Feasibility Study,23-0399,2023,30000,E1 & H1,,262
Water & Waste Operations,Qed Environmental Systems,Landfill Gas Wellhead Supplies,23-0402,2023,32405,D,,263
Saskatoon Water,Rogers Wireless (Shaw Cablesystem GP),Shaw (Rogers) CN Industrial,23-0404,2023,70966.8,E3,,264
Transportation,Canadian Pacific Railway,Backlights at Hwy 1 Crossing,23-0406,2023,71210,E,,265
Human Resources,Shadow Light Consulting Inc.,Situational Leadership,23-0408,2023,75000,"E1, E2",,266
Water & Waste Operations,3Twenty Modular,Removal and Replacement of Sanitary Manhole,23-0413,2023,31714.34,C,,267
Fire,Rocky Mountain Phoenix,G1 Harness G1FS SCBA,23-0414,2023,93500,E2,,268
